Modell,Thema_ID,Anzahl_Dokumente,Label_Intern,Wort 1,Wort 2,Wort 3,Wort 4,Wort 5,Wort 6,Wort 7,Wort 8,Wort 9,Wort 10
BERTopic,0,1973,0_veraltet_medizinisch_daten_security,veraltet,medizinisch,daten,security,sicherheit,krankenhaus,zugriff,feststellen,gesundheitsdienstleister,durchführen
BERTopic,1,692,1_digital_marketingagentur_problem_kampagne,digital,marketingagentur,problem,kampagne,marketing,beeinträchtigen,agency,störung,lösung,versuchen
BERTopic,2,607,2_digital_kampagne_engagement_ergebnis,digital,kampagne,engagement,ergebnis,target,campaigns,audience,marketing,content,angepasst
BERTopic,3,427,3_server_benutzer_serverüberlastung_erhöht,server,benutzer,serverüberlastung,erhöht,nutzer,problem,serverbelastung,starten,verzögerung,leeren
BERTopic,4,387,4_billing_rechnung_payment_gebühr,billing,rechnung,payment,gebühr,überprüfen,account,invoice,subscription,zahlung,letzter
BERTopic,5,357,5_treffen_entscheidung_optimierung_datenanalyse,treffen,entscheidung,optimierung,datenanalyse,investitionsentscheidung,tools,investitionsstrategien,verbesserung,freuen,datenanalysetools
BERTopic,6,216,6_medizinisch_daten_vertraulichkeit_integrität,medizinisch,daten,vertraulichkeit,integrität,patientendat,schutz,schützen,verfügbarkeit,sensibl,gewährleisten
BERTopic,7,198,7_optimierung_investition_analysis_datenanalyse,optimierung,investition,analysis,datenanalyse,investment,investments,optimization,investitionsstrategien,data,mehr
BERTopic,8,184,8_gerät_router_verbindungsproblem_netzwerkeinstellung,gerät,router,verbindungsproblem,netzwerkeinstellung,problem,verbindung,starten,neu,mehrere,beeinträchtigen
BERTopic,9,179,9_saas_project_platform_the,saas,project,platform,the,management,issue,issues,with,and,resolve
BERTopic,10,128,10_saas_management_project_features,saas,management,project,features,would,platform,for,more,could,integration
BERTopic,11,120,11_rabatt_verfügbar_aktion_kosten,rabatt,verfügbar,aktion,kosten,zahlungsmethod,preis,etwaig,payment,gebühr,detailliert
